,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,cloudcover,icon
123,2022-05-04,18.6,3.5,11.5,0.0,0.0,0.0,,40.7,partly-cloudy-day
124,2022-05-05,20.1,5.3,12.7,0.0,0.0,0.0,,50.9,partly-cloudy-day
125,2022-05-06,20.9,3.5,12.7,0.0,0.0,0.0,,18.8,clear-day
126,2022-05-07,21.8,4.0,13.5,0.0,0.0,0.0,,25.2,partly-cloudy-day
127,2022-05-08,23.5,5.5,15.6,0.0,0.0,0.0,,40.0,partly-cloudy-day
128,2022-05-09,26.8,6.8,16.9,0.0,0.0,0.0,,22.3,partly-cloudy-day
129,2022-05-10,27.5,11.1,19.4,0.0,0.0,0.0,,21.1,partly-cloudy-day
130,2022-05-11,27.5,7.1,18.5,0.0,0.0,0.0,,57.8,partly-cloudy-day
131,2022-05-12,22.0,10.1,15.8,0.0,0.0,0.0,['rain'],54.9,partly-cloudy-day
132,2022-05-13,23.6,8.9,16.7,2.0,100.0,4.17,['rain'],36.8,rain
133,2022-05-14,21.6,12.1,16.4,6.5,100.0,12.5,['rain'],72.8,rain
134,2022-05-15,18.5,9.2,14.0,0.4,100.0,4.17,['rain'],71.2,rain
135,2022-05-16,21.5,8.7,14.9,0.0,0.0,0.0,,61.5,partly-cloudy-day
136,2022-05-17,22.3,7.0,16.1,0.0,0.0,0.0,['rain'],41.1,partly-cloudy-day
137,2022-05-18,23.9,10.0,17.1,0.0,0.0,0.0,,70.1,partly-cloudy-day
138,2022-05-19,27.4,8.7,18.2,0.0,0.0,0.0,,28.0,partly-cloudy-day
139,2022-05-20,30.4,13.0,21.9,0.0,0.0,0.0,,87.1,partly-cloudy-day
140,2022-05-21,28.4,16.8,22.7,0.0,0.0,0.0,['rain'],83.3,partly-cloudy-day
141,2022-05-22,20.6,12.7,17.8,0.6,100.0,4.17,['rain'],76.1,rain
142,2022-05-23,19.3,10.0,14.2,0.0,0.0,0.0,,35.6,partly-cloudy-day
143,2022-05-24,12.4,2.2,8.0,3.5,100.0,8.33,['rain'],57.2,rain
144,2022-05-25,17.6,4.5,11.0,0.0,0.0,0.0,,40.3,partly-cloudy-day
145,2022-05-26,26.3,3.0,14.8,0.0,0.0,0.0,,12.4,clear-day
146,2022-05-27,27.6,6.1,18.0,0.0,0.0,0.0,,2.5,clear-day
147,2022-05-28,28.4,7.4,19.4,0.0,0.0,0.0,,46.4,partly-cloudy-day
148,2022-05-29,27.4,8.5,18.9,0.4,100.0,4.17,['rain'],43.7,rain
149,2022-05-30,21.1,8.5,15.7,0.0,0.0,0.0,['rain'],64.6,partly-cloudy-day
