,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Saints' Day,All Saints' Day_lower,All Saints' Day_upper,Assumption Day,Assumption Day_lower,Assumption Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Constitution Day,Constitution Day_lower,Constitution Day_upper,Epiphany,Epiphany_lower,Epiphany_upper,Good Friday,Good Friday_lower,Good Friday_upper,Immaculate Conception,Immaculate Conception_lower,Immaculate Conception_upper,Labor Day,Labor Day_lower,Labor Day_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,additive_terms,additive_terms_lower,additive_terms_upper,claro,claro_lower,claro_upper,cubierto,cubierto_lower,cubierto_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,findesemana,findesemana_lower,findesemana_upper,holidays,holidays_lower,holidays_upper,navidad,navidad_lower,navidad_upper,precipitacion,precipitacion_lower,precipitacion_upper,semanasanta,semanasanta_lower,semanasanta_upper,temp,temp_lower,temp_upper,verano,verano_lower,verano_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
872,2024-05-29,18677.571973074704,10363.281287363649,16788.463861095497,18154.99607045711,19107.345428293913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5047.803893617631,-5047.803893617631,-5047.803893617631,232.32998829459999,232.32998829459999,232.32998829459999,0.0,0.0,0.0,927.2340526128346,927.2340526128346,927.2340526128346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.9040643182345,694.9040643182345,694.9040643182345,0.0,0.0,0.0,-1291.2143749539675,-1291.2143749539675,-1291.2143749539675,-4683.823571276497,-4683.823571276497,-4683.823571276497,0.0,0.0,0.0,13629.768079457073
873,2024-05-30,18675.82877917033,10163.38851730548,16638.441114760124,18146.504161574947,19109.994555301368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5238.325117679268,-5238.325117679268,-5238.325117679268,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,635.5778339926828,635.5778339926828,635.5778339926828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.81412375634284,445.81412375634284,445.81412375634284,0.0,0.0,0.0,-1266.2937199360344,-1266.2937199360344,-1266.2937199360344,-4607.609231735915,-4607.609231735915,-4607.609231735915,0.0,0.0,0.0,13437.50366149106
874,2024-05-31,18674.08558526595,11941.204157629432,18707.25277164774,18137.84074996113,19112.64368230882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3461.2621710414746,-3461.2621710414746,-3461.2621710414746,0.0,0.0,0.0,0.0,0.0,0.0,1498.7424183006071,1498.7424183006071,1498.7424183006071,1367.7693895196,1367.7693895196,1367.7693895196,0.0,0.0,0.0,0.0,0.0,0.0,-181.99312667566,-181.99312667566,-181.99312667566,0.0,0.0,0.0,312.96615545666714,312.96615545666714,312.96615545666714,0.0,0.0,0.0,-432.4576071142481,-432.4576071142481,-432.4576071142481,-4527.546982227834,-4527.546982227834,-4527.546982227834,0.0,0.0,0.0,15212.823414224476
875,2024-06-01,18672.342391361573,13968.161678582259,20371.968253204264,18129.30672014599,19115.292809316266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1568.5668439827325,-1568.5668439827325,-1568.5668439827325,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,1837.2872631376883,1837.2872631376883,1837.2872631376883,1367.7693895196,1367.7693895196,1367.7693895196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.75416338174836,279.75416338174836,279.75416338174836,0.0,0.0,0.0,1034.6162581441947,1034.6162581441947,1034.6162581441947,-4440.470365264616,-4440.470365264616,-4440.470365264616,0.0,0.0,0.0,17103.775547378842
876,2024-06-02,18670.599197457195,15182.078556222525,21609.03466180185,18120.77269033085,19116.534936566146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-327.62408678295475,-327.62408678295475,-327.62408678295475,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,502.7298656930072,502.7298656930072,502.7298656930072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.96615545666714,312.96615545666714,312.96615545666714,0.0,0.0,0.0,3512.463739411463,3512.463739411463,3512.463739411463,-4342.817691887425,-4342.817691887425,-4342.817691887425,0.0,0.0,0.0,18342.97511067424
877,2024-06-03,18668.856003552817,11172.059458554108,17606.860460214375,18112.238660515715,19117.578379507235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3995.463181587588,-3995.463181587588,-3995.463181587588,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,718.60781417998,718.60781417998,718.60781417998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.84410394364,528.84410394364,528.84410394364,0.0,0.0,0.0,-483.3454486191245,-483.3454486191245,-483.3454486191245,-4230.725547148443,-4230.725547148443,-4230.725547148443,0.0,0.0,0.0,14673.39282196523
878,2024-06-04,18667.11280964844,11221.811930535709,17686.494943332265,18104.640804688996,19122.481244918603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4279.880866375536,-4279.880866375536,-4279.880866375536,232.32998829459999,232.32998829459999,232.32998829459999,0.0,0.0,0.0,894.0220605379158,894.0220605379158,894.0220605379158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.6920722433158,661.6920722433158,661.6920722433158,0.0,0.0,0.0,-1073.7688469299687,-1073.7688469299687,-1073.7688469299687,-4100.134079983483,-4100.134079983483,-4100.134079983483,0.0,0.0,0.0,14387.231943272902
879,2024-06-05,18665.36961574406,11413.685601864418,17719.79276158743,18098.48917714596,19127.125267491436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4154.176013679124,-4154.176013679124,-4154.176013679124,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,1083.9397270040877,1083.9397270040877,1083.9397270040877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.1760167677477,894.1760167677477,894.1760167677477,0.0,0.0,0.0,-1291.2143749470574,-1291.2143749470574,-1291.2143749470574,-3946.901365736153,-3946.901365736153,-3946.901365736153,0.0,0.0,0.0,14511.193602064937
880,2024-06-06,18663.626421839683,11741.383809241983,18190.29455383949,18092.479957941105,19131.15705180071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3567.339907568789,-3567.339907568789,-3567.339907568789,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,1465.877635865655,1465.877635865655,1465.877635865655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.113925629315,1276.113925629315,1276.113925629315,0.0,0.0,0.0,-1266.2937199376408,-1266.2937199376408,-1266.2937199376408,-3766.923823496803,-3766.923823496803,-3766.923823496803,0.0,0.0,0.0,15096.286514270894
881,2024-06-07,18661.883227935305,14002.10354579842,20537.12278162145,18086.58767716013,19137.855849420106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1404.159964501679,-1404.159964501679,-1404.159964501679,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,2584.5570848233633,2584.5570848233633,2584.5570848233633,1367.7693895196,1367.7693895196,1367.7693895196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0239850674234,1027.0239850674234,1027.0239850674234,0.0,0.0,0.0,-432.45760711843303,-432.45760711843303,-432.45760711843303,-3556.2594422066095,-3556.2594422066095,-3556.2594422066095,0.0,0.0,0.0,17257.723263433625
882,2024-06-08,18660.140034030926,15883.5805611904,22364.786397486936,18080.756002554965,19145.950080073675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.74090433791986,357.74090433791986,357.74090433791986,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,2634.375072935742,2634.375072935742,2634.375072935742,1367.7693895196,1367.7693895196,1367.7693895196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.841973179802,1076.841973179802,1076.841973179802,0.0,0.0,0.0,1034.6162581483034,1034.6162581483034,1034.6162581483034,-3311.2504267461254,-3311.2504267461254,-3311.2504267461254,0.0,0.0,0.0,19017.880938368846
883,2024-06-09,18658.39684012655,16447.55279057543,22780.93031836245,18074.139206197167,19151.381022166057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.5208616470017,963.5208616470017,963.5208616470017,0.0,0.0,0.0,0.0,0.0,0.0,479.6989455676558,479.6989455676558,479.6989455676558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-181.99312667566,-181.99312667566,-181.99312667566,0.0,0.0,0.0,661.6920722433158,661.6920722433158,661.6920722433158,0.0,0.0,0.0,3512.463739410381,3512.463739410381,3512.463739410381,-3028.641823331035,-3028.641823331035,-3028.641823331035,0.0,0.0,0.0,19621.91770177355
884,2024-06-10,18656.65364622217,12353.799418359473,18933.39956268906,18067.402925703387,19152.240785689584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3008.2471572388044,-3008.2471572388044,-3008.2471572388044,0.0,0.0,0.0,0.0,0.0,0.0,180.79101689338557,180.79101689338557,180.79101689338557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-181.99312667566,-181.99312667566,-181.99312667566,0.0,0.0,0.0,362.78414356904557,362.78414356904557,362.78414356904557,0.0,0.0,0.0,-483.3454486208921,-483.3454486208921,-483.3454486208921,-2705.692725511298,-2705.692725511298,-2705.692725511298,0.0,0.0,0.0,15648.406488983366
885,2024-06-11,18654.910452317792,12154.930096758715,18350.744947668427,18061.41144758769,19152.97276118981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3449.1325767452186,-3449.1325767452186,-3449.1325767452186,0.0,0.0,0.0,0.0,0.0,0.0,-35.08693159358735,-35.08693159358735,-35.08693159358735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-181.99312667566,-181.99312667566,-181.99312667566,0.0,0.0,0.0,146.90619508207266,146.90619508207266,146.90619508207266,0.0,0.0,0.0,-1073.7688469270297,-1073.7688469270297,-1073.7688469270297,-2340.2767982246014,-2340.2767982246014,-2340.2767982246014,0.0,0.0,0.0,15205.777875572574
886,2024-06-12,18653.167258413414,12704.496764513937,19263.672666406048,18054.20859773911,19153.68998320019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2802.4835749756985,-2802.4835749756985,-2802.4835749756985,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,419.69988550570986,419.69988550570986,419.69988550570986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.9361752693699,229.9361752693699,229.9361752693699,0.0,0.0,0.0,-1291.214374947795,-1291.214374947795,-1291.214374947795,-1930.9690855336135,-1930.9690855336135,-1930.9690855336135,0.0,0.0,0.0,15850.683683437715
887,2024-06-13,18651.424064509036,14062.333038290046,20207.527078456566,18046.783504411324,19154.407205210573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1650.1160901368175,-1650.1160901368175,-1650.1160901368175,232.32998829459999,232.32998829459999,232.32998829459999,0.0,0.0,0.0,1093.2940129874291,1093.2940129874291,1093.2940129874291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.9640246928291,860.9640246928291,860.9640246928291,0.0,0.0,0.0,-1266.2937199392472,-1266.2937199392472,-1266.2937199392472,-1477.1163831849992,-1477.1163831849992,-1477.1163831849992,0.0,0.0,0.0,17001.30797437222
888,2024-06-14,18649.68087060466,16603.507441488247,23128.777678843813,18038.40579480251,19155.124427220962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.8166211432952,1189.8166211432952,1189.8166211432952,0.0,0.0,0.0,189.76371023634,189.76371023634,189.76371023634,2601.1630808608224,2601.1630808608224,2601.1630808608224,1367.7693895196,1367.7693895196,1367.7693895196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043.6299811048825,1043.6299811048825,1043.6299811048825,0.0,0.0,0.0,-432.4576071207786,-432.4576071207786,-432.4576071207786,-978.8888525967486,-978.8888525967486,-978.8888525967486,0.0,0.0,0.0,19839.497491747956
889,2024-06-15,18647.937676700283,18366.89334199108,24445.33318960258,18030.77724020717,19157.1108440041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2610.8335346689964,2610.8335346689964,2610.8335346689964,0.0,0.0,0.0,0.0,0.0,0.0,2013.5282954618501,2013.5282954618501,2013.5282954618501,1367.7693895196,1367.7693895196,1367.7693895196,0.0,0.0,0.0,0.0,0.0,0.0,-181.99312667566,-181.99312667566,-181.99312667566,0.0,0.0,0.0,827.7520326179102,827.7520326179102,827.7520326179102,0.0,0.0,0.0,1034.61625814696,1034.61625814696,1034.61625814696,-437.31101893981383,-437.31101893981383,-437.31101893981383,0.0,0.0,0.0,21258.77121136928
890,2024-06-16,18646.194482795905,20076.553482096107,26545.56732599154,18023.39578072634,19160.176766927638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4585.426971154124,4585.426971154124,4585.426971154124,232.32998829459999,232.32998829459999,232.32998829459999,0.0,0.0,0.0,927.2340526128346,927.2340526128346,927.2340526128346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.9040643182345,694.9040643182345,694.9040643182345,0.0,0.0,0.0,3512.463739410054,3512.463739410054,3512.463739410054,145.72917913123433,145.72917913123433,145.72917913123433,0.0,0.0,0.0,23231.62145395003
